grid_shape,sigma,learning_rate,epochs,n_clusters,cluster_counts,silhouette_score,davies_bouldin_score,calinski_harabasz_score
2x2,0.2,0.01,50,1,{np.int64(0): np.int64(150)},N/A,N/A,N/A
2x2,0.2,0.01,100,1,{np.int64(2): np.int64(150)},N/A,N/A,N/A
2x2,0.2,0.01,200,1,{np.int64(0): np.int64(150)},N/A,N/A,N/A
2x2,0.2,0.01,300,1,{np.int64(1): np.int64(150)},N/A,N/A,N/A
2x2,0.2,0.01,500,1,{np.int64(3): np.int64(150)},N/A,N/A,N/A
2x2,0.2,0.1,50,1,{np.int64(0): np.int64(150)},N/A,N/A,N/A
2x2,0.2,0.1,100,1,{np.int64(2): np.int64(150)},N/A,N/A,N/A
2x2,0.2,0.1,200,1,{np.int64(0): np.int64(150)},N/A,N/A,N/A
2x2,0.2,0.1,300,1,{np.int64(3): np.int64(150)},N/A,N/A,N/A
2x2,0.2,0.1,500,1,{np.int64(3): np.int64(150)},N/A,N/A,N/A
2x2,0.2,0.5,50,1,{np.int64(0): np.int64(150)},N/A,N/A,N/A
2x2,0.2,0.5,100,1,{np.int64(0): np.int64(150)},N/A,N/A,N/A
2x2,0.2,0.5,200,1,{np.int64(1): np.int64(150)},N/A,N/A,N/A
2x2,0.2,0.5,300,1,{np.int64(3): np.int64(150)},N/A,N/A,N/A
2x2,0.2,0.5,500,1,{np.int64(1): np.int64(150)},N/A,N/A,N/A
2x2,0.2,0.9,50,2,"{np.int64(0): np.int64(145), np.int64(2): np.int64(5)}",0.14189840528609735,0.6900119740370703,11.18213532614011
2x2,0.2,0.9,100,1,{np.int64(0): np.int64(150)},N/A,N/A,N/A
2x2,0.2,0.9,200,1,{np.int64(0): np.int64(150)},N/A,N/A,N/A
2x2,0.2,0.9,300,1,{np.int64(1): np.int64(150)},N/A,N/A,N/A
2x2,0.2,0.9,500,1,{np.int64(0): np.int64(150)},N/A,N/A,N/A
2x2,0.2,1.0,50,2,"{np.int64(0): np.int64(1), np.int64(1): np.int64(149)}",0.10609944151741502,0.5877514322232008,2.3679891583142756
2x2,0.2,1.0,100,1,{np.int64(0): np.int64(150)},N/A,N/A,N/A
2x2,0.2,1.0,200,1,{np.int64(3): np.int64(150)},N/A,N/A,N/A
2x2,0.2,1.0,300,1,{np.int64(2): np.int64(150)},N/A,N/A,N/A
2x2,0.2,1.0,500,1,{np.int64(1): np.int64(150)},N/A,N/A,N/A
2x2,0.5,0.01,50,3,"{np.int64(1): np.int64(50), np.int64(2): np.int64(42), np.int64(3): np.int64(58)}",0.5200845638258039,0.6853624369223091,527.8467519441621
2x2,0.5,0.01,100,4,"{np.int64(0): np.int64(49), np.int64(1): np.int64(39), np.int64(2): np.int64(1), np.int64(3): np.int64(61)}",0.4293172362818388,0.5920880819730739,380.49891418049395
2x2,0.5,0.01,200,4,"{np.int64(0): np.int64(50), np.int64(1): np.int64(41), np.int64(2): np.int64(27), np.int64(3): np.int64(32)}",0.4974551890173751,0.7757009440067065,530.4871420421675
2x2,0.5,0.01,300,4,"{np.int64(0): np.int64(41), np.int64(1): np.int64(32), np.int64(2): np.int64(50), np.int64(3): np.int64(27)}",0.4974551890173751,0.7757009440067065,530.4871420421675
2x2,0.5,0.01,500,4,"{np.int64(0): np.int64(32), np.int64(1): np.int64(28), np.int64(2): np.int64(40), np.int64(3): np.int64(50)}",0.49805050499728737,0.7803069838811107,530.7658081872851
2x2,0.5,0.1,50,4,"{np.int64(0): np.int64(40), np.int64(1): np.int64(50), np.int64(2): np.int64(32), np.int64(3): np.int64(28)}",0.49805050499728737,0.7803069838811109,530.7658081872851
2x2,0.5,0.1,100,4,"{np.int64(0): np.int64(50), np.int64(1): np.int64(28), np.int64(2): np.int64(40), np.int64(3): np.int64(32)}",0.49805050499728737,0.7803069838811107,530.7658081872851
2x2,0.5,0.1,200,4,"{np.int64(0): np.int64(32), np.int64(1): np.int64(28), np.int64(2): np.int64(40), np.int64(3): np.int64(50)}",0.49805050499728737,0.7803069838811107,530.7658081872851
2x2,0.5,0.1,300,4,"{np.int64(0): np.int64(28), np.int64(1): np.int64(32), np.int64(2): np.int64(50), np.int64(3): np.int64(40)}",0.49805050499728737,0.7803069838811107,530.7658081872851
2x2,0.5,0.1,500,4,"{np.int64(0): np.int64(28), np.int64(1): np.int64(32), np.int64(2): np.int64(50), np.int64(3): np.int64(40)}",0.49805050499728737,0.7803069838811107,530.7658081872851
2x2,0.5,0.5,50,4,"{np.int64(0): np.int64(30), np.int64(1): np.int64(50), np.int64(2): np.int64(23), np.int64(3): np.int64(47)}",0.49535632852884987,0.763894658536336,529.1966593804772
2x2,0.5,0.5,100,4,"{np.int64(0): np.int64(29), np.int64(1): np.int64(50), np.int64(2): np.int64(23), np.int64(3): np.int64(48)}",0.49625113481250943,0.7595507165369579,529.2147678427564
2x2,0.5,0.5,200,4,"{np.int64(0): np.int64(49), np.int64(1): np.int64(50), np.int64(2): np.int64(23), np.int64(3): np.int64(28)}",0.49764331793219224,0.7541404230958465,529.5290949944817
